nature,increaces,decreases
Adamant,Attack,Special Attack
Bashful,Special Attack,Special Attack
Bold,Defense,Attack
Brave,Attack,Speed
Calm,Special Defense,Attack
Careful,Special Defense,Special Attack
Docile,Defense,Defense
Gentle,Special Defense,Defense
Hardy,Attack,Attack
Hasty,Speed,Defense
Impish,Defense,Special Attack
Jolly,Speed,Special Attack
Lax,Defense,Special Defense
Lonely,Attack,Defense
Mild,Special Attack,Defense
Modest,Special Attack,Attack
Naive,Speed,Special Defense
Naughty,Attack,Special Defense
Quiet,Special Attack,Speed
Quirky,Special Defense,Special Defense
Rash,Special Attack,Special Defense
Relaxed,Defense,Speed
Sassy,Special Defense,Speed
Serious,Speed,Speed
Timid,Speed,Attack
